Frequency [D/H],Data Type,Observation time UTC,Data Source,Radiation [MJ/m2],PERIOD [hrs]
D,Global,2017-06-08T11:59:00Z,D,9.33,24
D,Global,2017-06-09T11:59:00Z,D,9.31,24
D,Global,2017-06-10T11:59:00Z,D,6.6,24
D,Global,2017-06-11T11:59:00Z,D,9.19,24
D,Global,2017-06-12T11:59:00Z,D,5.7,24
D,Global,2017-06-13T11:59:00Z,D,6.04,24
D,Global,2017-06-14T11:59:00Z,D,7.91,24
D,Global,2017-06-15T11:59:00Z,D,9.3,24
D,Global,2017-06-16T11:59:00Z,D,6.82,24
D,Global,2017-06-17T11:59:00Z,D,4.06,24
D,Global,2017-06-18T11:59:00Z,D,3.61,24
D,Global,2017-06-19T11:59:00Z,D,4.53,24
D,Global,2017-06-20T11:59:00Z,D,8.41,24
D,Global,2017-06-21T11:59:00Z,D,5.51,24
D,Global,2017-06-22T11:59:00Z,D,1.92,24
D,Global,2017-06-23T11:59:00Z,D,1.91,24
D,Global,2017-06-24T11:59:00Z,D,3.79,24
D,Global,2017-06-25T11:59:00Z,D,4.08,24
D,Global,2017-06-26T11:59:00Z,D,8.19,24
D,Global,2017-06-27T11:59:00Z,D,9.22,24
D,Global,2017-06-28T11:59:00Z,D,8.61,24
D,Global,2017-06-29T11:59:00Z,D,9.14,24
D,Global,2017-06-30T11:59:00Z,D,8.08,24
D,Global,2017-07-01T11:59:00Z,D,1.47,24
D,Global,2017-07-02T11:59:00Z,D,3.59,24
D,Global,2017-07-03T11:59:00Z,D,5.66,24
D,Global,2017-07-04T11:59:00Z,D,8.85,24
D,Global,2017-07-05T11:59:00Z,D,5.61,24
D,Global,2017-07-06T11:59:00Z,D,1.62,24
D,Global,2017-07-07T11:59:00Z,D,2.76,24
D,Global,2017-07-08T11:59:00Z,D,6.97,24
D,Global,2017-07-09T11:59:00Z,D,2.78,24
D,Global,2017-07-10T11:59:00Z,D,6.71,24
D,Global,2017-07-11T11:59:00Z,D,8.65,24
D,Global,2017-07-12T11:59:00Z,D,8.11,24
D,Global,2017-07-13T11:59:00Z,D,3.74,24
D,Global,2017-07-14T11:59:00Z,D,4.01,24
D,Global,2017-07-15T11:59:00Z,D,10.01,24
D,Global,2017-07-16T11:59:00Z,D,9.71,24
D,Global,2017-07-17T11:59:00Z,D,4.79,24
D,Global,2017-07-18T11:59:00Z,D,4.24,24
D,Global,2017-07-19T11:59:00Z,D,4.19,24
D,Global,2017-07-20T11:59:00Z,D,2.94,24
D,Global,2017-07-21T11:59:00Z,D,3.71,24
D,Global,2017-07-22T11:59:00Z,D,4.2,24
D,Global,2017-07-23T11:59:00Z,D,8.58,24
D,Global,2017-07-24T11:59:00Z,D,6.26,24
D,Global,2017-07-25T11:59:00Z,D,6.42,24
D,Global,2017-07-26T11:59:00Z,D,9.4,24
D,Global,2017-07-27T11:59:00Z,D,4.25,24
D,Global,2017-07-28T11:59:00Z,D,7.21,24
D,Global,2017-07-29T11:59:00Z,D,11.51,24
D,Global,2017-07-30T11:59:00Z,D,11.81,24
D,Global,2017-07-31T11:59:00Z,D,9.63,24
D,Global,2017-08-01T11:59:00Z,D,6.67,24
D,Global,2017-08-02T11:59:00Z,D,3.68,24
D,Global,2017-08-03T11:59:00Z,D,7.6,24
D,Global,2017-08-04T11:59:00Z,D,10.07,24
D,Global,2017-08-05T11:59:00Z,D,12.23,24
D,Global,2017-08-06T11:59:00Z,D,6.65,24
D,Global,2017-08-07T11:59:00Z,D,10.54,24
D,Global,2017-08-08T11:59:00Z,D,4.27,24
D,Global,2017-08-09T11:59:00Z,D,1.32,24
D,Global,2017-08-10T11:59:00Z,D,7.95,24
D,Global,2017-08-11T11:59:00Z,D,9.48,24
D,Global,2017-08-12T11:59:00Z,D,8.41,24
D,Global,2017-08-13T11:59:00Z,D,11.45,24
D,Global,2017-08-14T11:59:00Z,D,7.75,24
D,Global,2017-08-15T11:59:00Z,D,7.88,24
D,Global,2017-08-16T11:59:00Z,D,6.07,24
D,Global,2017-08-17T11:59:00Z,D,5.4,24
D,Global,2017-08-18T11:59:00Z,D,13.48,24
D,Global,2017-08-19T11:59:00Z,D,4.03,24
D,Global,2017-08-20T11:59:00Z,D,4.84,24
D,Global,2017-08-21T11:59:00Z,D,12.82,24
D,Global,2017-08-22T11:59:00Z,D,12.37,24
D,Global,2017-08-23T11:59:00Z,D,15.15,24
D,Global,2017-08-24T11:59:00Z,D,15.35,24
D,Global,2017-08-25T11:59:00Z,D,10.7,24
D,Global,2017-08-26T11:59:00Z,D,5.91,24
D,Global,2017-08-27T11:59:00Z,D,7.4,24
D,Global,2017-08-28T11:59:00Z,D,2.41,24
D,Global,2017-08-29T11:59:00Z,D,9.86,24
D,Global,2017-08-30T11:59:00Z,D,7.07,24
D,Global,2017-08-31T11:59:00Z,D,9.73,24
D,Global,2017-09-01T11:59:00Z,D,10.54,24
D,Global,2017-09-02T11:59:00Z,D,2.84,24
D,Global,2017-09-03T11:59:00Z,D,10.39,24
D,Global,2017-09-04T11:59:00Z,D,15.5,24
D,Global,2017-09-05T11:59:00Z,D,12,24
D,Global,2017-09-06T11:59:00Z,D,4.65,24
D,Global,2017-09-07T11:59:00Z,D,14.26,24
D,Global,2017-09-08T11:59:00Z,D,14.69,24
D,Global,2017-09-09T11:59:00Z,D,7.94,24
D,Global,2017-09-10T11:59:00Z,D,10.56,24
D,Global,2017-09-11T11:59:00Z,D,12.23,24
D,Global,2017-09-12T11:59:00Z,D,12.67,24
D,Global,2017-09-13T11:59:00Z,D,11.04,24
D,Global,2017-09-14T11:59:00Z,D,5.28,24
D,Global,2017-09-15T11:59:00Z,D,16.05,24
D,Global,2017-09-16T11:59:00Z,D,12.22,24
D,Global,2017-09-17T11:59:00Z,D,7.87,24
D,Global,2017-09-18T11:59:00Z,D,11.14,24
D,Global,2017-09-19T11:59:00Z,D,18.55,24
D,Global,2017-09-20T11:59:00Z,D,16.41,24
D,Global,2017-09-21T11:59:00Z,D,3.77,24
D,Global,2017-09-22T11:59:00Z,D,17.49,24
D,Global,2017-09-23T11:59:00Z,D,18.16,24
D,Global,2017-09-24T10:59:00Z,D,13.69,24
D,Global,2017-09-25T10:59:00Z,D,9.4,24
D,Global,2017-09-26T10:59:00Z,D,4.29,24
D,Global,2017-09-27T10:59:00Z,D,8.97,24
D,Global,2017-09-28T10:59:00Z,D,7.71,24
D,Global,2017-09-29T10:59:00Z,D,10.22,24
D,Global,2017-09-30T10:59:00Z,D,16.26,24
D,Global,2017-10-01T10:59:00Z,D,6.97,24
D,Global,2017-10-02T10:59:00Z,D,11.75,24
D,Global,2017-10-03T10:59:00Z,D,16.39,24
D,Global,2017-10-04T10:59:00Z,D,21.98,24
D,Global,2017-10-05T10:59:00Z,D,13.87,24
D,Global,2017-10-06T10:59:00Z,D,6.04,24
D,Global,2017-10-07T10:59:00Z,D,6.91,24
D,Global,2017-10-08T10:59:00Z,D,6.44,24
D,Global,2017-10-09T10:59:00Z,D,8.09,24
D,Global,2017-10-10T10:59:00Z,D,12.35,24
D,Global,2017-10-11T10:59:00Z,D,21.92,24
D,Global,2017-10-12T10:59:00Z,D,17.08,24
D,Global,2017-10-13T10:59:00Z,D,11.73,24
D,Global,2017-10-14T10:59:00Z,D,24.6,24
D,Global,2017-10-15T10:59:00Z,D,18.07,24
D,Global,2017-10-16T10:59:00Z,D,17.64,24
D,Global,2017-10-17T10:59:00Z,D,21.94,24
D,Global,2017-10-18T10:59:00Z,D,18.46,24
D,Global,2017-10-19T10:59:00Z,D,25.26,24
D,Global,2017-10-20T10:59:00Z,D,23.75,24
D,Global,2017-10-21T10:59:00Z,D,20.77,24
D,Global,2017-10-22T10:59:00Z,D,6.98,24
D,Global,2017-10-23T10:59:00Z,D,6.55,24
D,Global,2017-10-24T10:59:00Z,D,23.13,24
D,Global,2017-10-25T10:59:00Z,D,17.83,24
D,Global,2017-10-26T10:59:00Z,D,19.74,24
D,Global,2017-10-27T10:59:00Z,D,7.82,24
D,Global,2017-10-28T10:59:00Z,D,4.12,24
D,Global,2017-10-29T10:59:00Z,D,9.04,24
D,Global,2017-10-30T10:59:00Z,D,26.03,24
D,Global,2017-10-31T10:59:00Z,D,14.8,24
D,Global,2017-11-01T10:59:00Z,D,16.21,24
D,Global,2017-11-02T10:59:00Z,D,11.31,24
D,Global,2017-11-03T10:59:00Z,D,5.31,24
D,Global,2017-11-04T10:59:00Z,D,5.51,24
D,Global,2017-11-05T10:59:00Z,D,16.04,24
D,Global,2017-11-06T10:59:00Z,D,24.22,24
D,Global,2017-11-07T10:59:00Z,D,27.8,24
D,Global,2017-11-08T10:59:00Z,D,13.9,24
D,Global,2017-11-09T10:59:00Z,D,27.09,24
D,Global,2017-11-10T10:59:00Z,D,17.95,24
D,Global,2017-11-11T10:59:00Z,D,13.25,24
D,Global,2017-11-12T10:59:00Z,D,16.57,24
D,Global,2017-11-13T10:59:00Z,D,20.79,24
D,Global,2017-11-14T10:59:00Z,D,24.42,24
D,Global,2017-11-15T10:59:00Z,D,19.24,24
D,Global,2017-11-16T10:59:00Z,D,19.11,24
D,Global,2017-11-17T10:59:00Z,D,26.83,24
D,Global,2017-11-18T10:59:00Z,D,17.22,24
D,Global,2017-11-19T10:59:00Z,D,12.74,24
D,Global,2017-11-20T10:59:00Z,D,27.83,24
D,Global,2017-11-21T10:59:00Z,D,25.27,24
D,Global,2017-11-22T10:59:00Z,D,24.14,24
D,Global,2017-11-23T10:59:00Z,D,28.54,24
D,Global,2017-11-24T10:59:00Z,D,22.41,24
D,Global,2017-11-25T10:59:00Z,D,11.82,24
D,Global,2017-11-26T10:59:00Z,D,11.5,24
D,Global,2017-11-27T10:59:00Z,D,17.26,24
D,Global,2017-11-28T10:59:00Z,D,18.4,24
D,Global,2017-11-29T10:59:00Z,D,16.26,24
D,Global,2017-11-30T10:59:00Z,D,13.85,24
D,Global,2017-12-01T10:59:00Z,D,29.7,24
D,Global,2017-12-02T10:59:00Z,D,29.64,24
D,Global,2017-12-03T10:59:00Z,D,26.19,24
D,Global,2017-12-04T10:59:00Z,D,29.12,24
D,Global,2017-12-05T10:59:00Z,D,27.43,24
D,Global,2017-12-06T10:59:00Z,D,29.91,24
D,Global,2017-12-07T10:59:00Z,D,28.09,24
D,Global,2017-12-08T10:59:00Z,D,11.92,24
D,Global,2017-12-09T10:59:00Z,D,23.07,24
D,Global,2017-12-10T10:59:00Z,D,17.58,24
D,Global,2017-12-11T10:59:00Z,D,17.38,24
D,Global,2017-12-12T10:59:00Z,D,30,24
D,Global,2017-12-13T10:59:00Z,D,27.13,24
D,Global,2017-12-14T10:59:00Z,D,23.91,24
D,Global,2017-12-15T10:59:00Z,D,23.45,24
D,Global,2017-12-16T10:59:00Z,D,27.3,24
D,Global,2017-12-17T10:59:00Z,D,26.45,24
D,Global,2017-12-18T10:59:00Z,D,11.17,24
D,Global,2017-12-19T10:59:00Z,D,24.8,24
D,Global,2017-12-20T10:59:00Z,D,28.88,24
D,Global,2017-12-21T10:59:00Z,D,30.57,24
D,Global,2017-12-22T10:59:00Z,D,20.14,24
D,Global,2017-12-23T10:59:00Z,D,8.43,24
D,Global,2017-12-24T10:59:00Z,D,12.74,24
D,Global,2017-12-25T10:59:00Z,D,28,24
D,Global,2017-12-26T10:59:00Z,D,12.01,24
D,Global,2017-12-27T10:59:00Z,D,25.57,24
D,Global,2017-12-28T10:59:00Z,D,28.59,24
D,Global,2017-12-29T10:59:00Z,D,30.01,24
D,Global,2017-12-30T10:59:00Z,D,30.23,24
D,Global,2017-12-31T10:59:00Z,D,24.14,24
D,Global,2018-01-01T10:59:00Z,D,8.86,24
D,Global,2018-01-02T10:59:00Z,D,15.9,24
D,Global,2018-01-03T10:59:00Z,D,10.34,24
D,Global,2018-01-04T10:59:00Z,D,6.62,24
D,Global,2018-01-05T10:59:00Z,D,5.57,24
D,Global,2018-01-06T10:59:00Z,D,14.79,24
D,Global,2018-01-07T10:59:00Z,D,12.38,24
D,Global,2018-01-08T10:59:00Z,D,26.14,24
D,Global,2018-01-09T10:59:00Z,D,28.35,24
D,Global,2018-01-10T10:59:00Z,D,21.96,24
D,Global,2018-01-11T10:59:00Z,D,24.75,24
D,Global,2018-01-12T10:59:00Z,D,14.44,24
D,Global,2018-01-13T10:59:00Z,D,9.97,24
D,Global,2018-01-14T10:59:00Z,D,16.8,24
D,Global,2018-01-15T10:59:00Z,D,10.84,24
D,Global,2018-01-16T10:59:00Z,D,11.15,24
D,Global,2018-01-17T10:59:00Z,D,13.48,24
D,Global,2018-01-18T10:59:00Z,D,7.11,24
D,Global,2018-01-19T10:59:00Z,D,15.03,24
D,Global,2018-01-20T10:59:00Z,D,17.36,24
D,Global,2018-01-21T10:59:00Z,D,23.76,24
D,Global,2018-01-22T10:59:00Z,D,7.36,24
D,Global,2018-01-23T10:59:00Z,D,15.12,24
D,Global,2018-01-24T10:59:00Z,D,27.53,24
D,Global,2018-01-25T10:59:00Z,D,14.2,24
D,Global,2018-01-26T10:59:00Z,D,24.51,24
D,Global,2018-01-27T10:59:00Z,D,27.82,24
D,Global,2018-01-28T10:59:00Z,D,25.69,24
D,Global,2018-01-29T10:59:00Z,D,27.91,24
D,Global,2018-01-30T10:59:00Z,D,23.15,24
D,Global,2018-01-31T10:59:00Z,D,17.37,24
D,Global,2018-02-01T10:59:00Z,D,4.78,24
D,Global,2018-02-02T10:59:00Z,D,21.83,24
D,Global,2018-02-03T10:59:00Z,D,12.45,24
D,Global,2018-02-04T10:59:00Z,D,22.68,24
D,Global,2018-02-05T10:59:00Z,D,16.04,24
D,Global,2018-02-06T10:59:00Z,D,21.48,24
D,Global,2018-02-07T10:59:00Z,D,15.7,24
D,Global,2018-02-08T10:59:00Z,D,14.86,24
D,Global,2018-02-09T10:59:00Z,D,5.09,24
D,Global,2018-02-10T10:59:00Z,D,5.69,24
D,Global,2018-02-11T10:59:00Z,D,5.33,24
D,Global,2018-02-12T10:59:00Z,D,12.47,24
D,Global,2018-02-13T10:59:00Z,D,5.22,24
D,Global,2018-02-14T10:59:00Z,D,12.29,24
D,Global,2018-02-15T10:59:00Z,D,26.12,24
D,Global,2018-02-16T10:59:00Z,D,26.03,24
D,Global,2018-02-17T10:59:00Z,D,15.5,24
D,Global,2018-02-18T10:59:00Z,D,18.49,24
D,Global,2018-02-19T10:59:00Z,D,9.16,24
D,Global,2018-02-20T10:59:00Z,D,10.68,24
D,Global,2018-02-21T10:59:00Z,D,20.12,24
D,Global,2018-02-22T10:59:00Z,D,16.72,24
D,Global,2018-02-23T10:59:00Z,D,15.8,24
D,Global,2018-02-24T10:59:00Z,D,22.89,24
D,Global,2018-02-25T10:59:00Z,D,19.11,24
D,Global,2018-02-26T10:59:00Z,D,15.17,24
D,Global,2018-02-27T10:59:00Z,D,7.32,24
D,Global,2018-02-28T10:59:00Z,D,10.52,24
D,Global,2018-03-01T10:59:00Z,D,5.23,24
D,Global,2018-03-02T10:59:00Z,D,12.71,24
D,Global,2018-03-03T10:59:00Z,D,20.17,24
D,Global,2018-03-04T10:59:00Z,D,18.85,24
D,Global,2018-03-05T10:59:00Z,D,22.68,24
D,Global,2018-03-06T10:59:00Z,D,14.95,24
D,Global,2018-03-07T10:59:00Z,D,7.19,24
D,Global,2018-03-08T10:59:00Z,D,16.82,24
D,Global,2018-03-09T10:59:00Z,D,20.38,24
D,Global,2018-03-10T10:59:00Z,D,20.97,24
D,Global,2018-03-11T10:59:00Z,D,18.2,24
D,Global,2018-03-12T10:59:00Z,D,8.96,24
D,Global,2018-03-13T10:59:00Z,D,13.52,24
D,Global,2018-03-14T10:59:00Z,D,21.14,24
D,Global,2018-03-15T10:59:00Z,D,14.25,24
D,Global,2018-03-16T10:59:00Z,D,12.85,24
D,Global,2018-03-17T10:59:00Z,D,11.93,24
D,Global,2018-03-18T10:59:00Z,D,13.76,24
D,Global,2018-03-19T10:59:00Z,D,17.18,24
D,Global,2018-03-20T10:59:00Z,D,18.26,24
D,Global,2018-03-21T10:59:00Z,D,17.91,24
D,Global,2018-03-22T10:59:00Z,D,10.85,24
D,Global,2018-03-23T10:59:00Z,D,18.87,24
D,Global,2018-03-24T10:59:00Z,D,6.03,24
D,Global,2018-03-25T10:59:00Z,D,11.63,24
D,Global,2018-03-26T10:59:00Z,D,15.26,24
D,Global,2018-03-27T10:59:00Z,D,16.42,24
D,Global,2018-03-28T10:59:00Z,D,8.97,24
D,Global,2018-03-29T10:59:00Z,D,7.99,24
D,Global,2018-03-30T10:59:00Z,D,17.66,24
D,Global,2018-03-31T10:59:00Z,D,15.4,24
D,Global,2018-04-01T11:59:00Z,D,15.69,24
D,Global,2018-04-02T11:59:00Z,D,17.77,24
D,Global,2018-04-03T11:59:00Z,D,12.15,24
D,Global,2018-04-04T11:59:00Z,D,9.75,24
D,Global,2018-04-05T11:59:00Z,D,17.16,24
D,Global,2018-04-06T11:59:00Z,D,11.74,24
D,Global,2018-04-07T11:59:00Z,D,8.71,24
D,Global,2018-04-08T11:59:00Z,D,8.46,24
D,Global,2018-04-09T11:59:00Z,D,10.13,24
D,Global,2018-04-10T11:59:00Z,D,6.98,24
D,Global,2018-04-11T11:59:00Z,D,4.82,24
D,Global,2018-04-12T11:59:00Z,D,12.99,24
D,Global,2018-04-13T11:59:00Z,D,10.27,24
D,Global,2018-04-14T11:59:00Z,D,3.7,24
D,Global,2018-04-15T11:59:00Z,D,9.39,24
D,Global,2018-04-16T11:59:00Z,D,5.64,24
D,Global,2018-04-17T11:59:00Z,D,10.07,24
D,Global,2018-04-18T11:59:00Z,D,13.15,24
D,Global,2018-04-19T11:59:00Z,D,9.83,24
D,Global,2018-04-20T11:59:00Z,D,9.68,24
D,Global,2018-04-21T11:59:00Z,D,7.68,24
D,Global,2018-04-22T11:59:00Z,D,12.68,24
D,Global,2018-04-23T11:59:00Z,D,7.05,24
D,Global,2018-04-24T11:59:00Z,D,8.15,24
D,Global,2018-04-25T11:59:00Z,D,13.76,24
D,Global,2018-04-26T11:59:00Z,D,12.86,24
D,Global,2018-04-27T11:59:00Z,D,7.13,24
D,Global,2018-04-28T11:59:00Z,D,2.35,24
D,Global,2018-04-29T11:59:00Z,D,0.7,24
D,Global,2018-04-30T11:59:00Z,D,9.86,24
D,Global,2018-05-02T11:59:00Z,D,12.27,24
D,Global,2018-05-03T11:59:00Z,D,13.11,24
D,Global,2018-05-04T11:59:00Z,D,12.28,24
D,Global,2018-05-05T11:59:00Z,D,4.14,24
D,Global,2018-05-06T11:59:00Z,D,7.03,24
D,Global,2018-05-07T11:59:00Z,D,12.28,24
D,Global,2018-05-08T11:59:00Z,D,12.52,24
D,Global,2018-05-09T11:59:00Z,D,12.39,24
D,Global,2018-05-10T11:59:00Z,D,10.53,24
D,Global,2018-05-11T11:59:00Z,D,4.93,24
D,Global,2018-05-12T11:59:00Z,D,1.88,24
D,Global,2018-05-13T11:59:00Z,D,5.26,24
D,Global,2018-05-14T11:59:00Z,D,8.51,24
D,Global,2018-05-15T11:59:00Z,D,2.97,24
D,Global,2018-05-16T11:59:00Z,D,6.96,24
D,Global,2018-05-17T11:59:00Z,D,10.4,24
D,Global,2018-05-18T11:59:00Z,D,10.13,24
D,Global,2018-05-19T11:59:00Z,D,5.62,24
D,Global,2018-05-20T11:59:00Z,D,10.24,24
D,Global,2018-05-21T11:59:00Z,D,9.2,24
D,Global,2018-05-22T11:59:00Z,D,6.07,24
D,Global,2018-05-23T11:59:00Z,D,2.99,24
D,Global,2018-05-24T11:59:00Z,D,6.77,24
D,Global,2018-05-25T11:59:00Z,D,6.03,24
D,Global,2018-05-26T11:59:00Z,D,9.77,24
D,Global,2018-05-27T11:59:00Z,D,5.12,24
D,Global,2018-05-28T11:59:00Z,D,10.7,24
D,Global,2018-05-29T11:59:00Z,D,9.77,24
D,Global,2018-05-30T11:59:00Z,D,10.25,24
D,Global,2018-05-31T11:59:00Z,D,10.26,24
D,Global,2018-06-01T11:59:00Z,D,7.98,24
D,Global,2018-06-02T11:59:00Z,D,7.13,24
D,Global,2018-06-03T11:59:00Z,D,1.6,24
D,Global,2018-06-04T11:59:00Z,D,4.07,24
D,Global,2018-06-05T11:59:00Z,D,4.44,24
D,Global,2018-06-06T11:59:00Z,D,5.04,24
D,Global,2018-06-07T11:59:00Z,D,9.74,24
D,Global,2018-06-08T11:59:00Z,D,9.51,24
D,Global,2018-06-09T11:59:00Z,D,9.99,24
D,Global,2018-06-10T11:59:00Z,D,5.37,24
D,Global,2018-06-11T11:59:00Z,D,2.1,24
D,Global,2018-06-12T11:59:00Z,D,1.72,24
D,Global,2018-06-13T11:59:00Z,D,4.01,24
D,Global,2018-06-14T11:59:00Z,D,4.6,24
D,Global,2018-06-15T11:59:00Z,D,7.9,24
D,Global,2018-06-16T11:59:00Z,D,6.15,24
D,Global,2018-06-17T11:59:00Z,D,7.5,24
D,Global,2018-06-18T11:59:00Z,D,2.53,24
D,Global,2018-06-19T11:59:00Z,D,7.74,24
D,Global,2018-06-20T11:59:00Z,D,5.57,24
D,Global,2018-06-21T11:59:00Z,D,7.06,24
D,Global,2018-06-22T11:59:00Z,D,9.6,24
D,Global,2018-06-23T11:59:00Z,D,7.58,24
D,Global,2018-06-24T11:59:00Z,D,4.64,24
D,Global,2018-06-25T11:59:00Z,D,5.11,24
D,Global,2018-06-26T11:59:00Z,D,3.68,24
D,Global,2018-06-27T11:59:00Z,D,9.33,24
D,Global,2018-06-28T11:59:00Z,D,6.54,24
D,Global,2018-06-29T11:59:00Z,D,9.63,24
D,Global,2018-06-30T11:59:00Z,D,9.61,24
D,Global,2018-07-01T11:59:00Z,D,3.66,24
D,Global,2018-07-02T11:59:00Z,D,5.49,24
D,Global,2018-07-03T11:59:00Z,D,9.65,24
D,Global,2018-07-04T11:59:00Z,D,9.76,24
D,Global,2018-07-05T11:59:00Z,D,8.65,24
D,Global,2018-07-06T11:59:00Z,D,9.47,24
D,Global,2018-07-07T11:59:00Z,D,3.56,24
D,Global,2018-07-08T11:59:00Z,D,3.2,24
D,Global,2018-07-09T11:59:00Z,D,5.44,24
D,Global,2018-07-10T11:59:00Z,D,7.09,24
D,Global,2018-07-11T11:59:00Z,D,9.06,24
D,Global,2018-07-12T11:59:00Z,D,8.1,24
D,Global,2018-07-13T11:59:00Z,D,4.28,24
D,Global,2018-07-14T11:59:00Z,D,4.95,24
D,Global,2018-07-15T11:59:00Z,D,3.6,24
D,Global,2018-07-16T11:59:00Z,D,8.06,24
D,Global,2018-07-17T11:59:00Z,D,7.09,24
D,Global,2018-07-18T11:59:00Z,D,8.58,24
D,Global,2018-07-19T11:59:00Z,D,2.84,24
D,Global,2018-07-20T11:59:00Z,D,8.31,24
D,Global,2018-07-21T11:59:00Z,D,6.11,24
D,Global,2018-07-22T11:59:00Z,D,2.98,24
D,Global,2018-07-23T11:59:00Z,D,10.22,24
D,Global,2018-07-24T11:59:00Z,D,10.44,24
D,Global,2018-07-25T11:59:00Z,D,9.08,24
D,Global,2018-07-27T11:59:00Z,D,7.87,24
D,Global,2018-07-28T11:59:00Z,D,9.18,24
D,Global,2018-07-29T11:59:00Z,D,6.15,24
D,Global,2018-07-30T11:59:00Z,D,11.88,24
D,Global,2018-07-31T11:59:00Z,D,6.61,24
D,Global,2018-08-01T11:59:00Z,D,5.3,24
D,Global,2018-08-02T11:59:00Z,D,9.98,24
D,Global,2018-08-03T11:59:00Z,D,2.24,24
D,Global,2018-08-04T11:59:00Z,D,3.53,24
D,Global,2018-08-05T11:59:00Z,D,3.49,24
D,Global,2018-08-06T11:59:00Z,D,7.73,24
D,Global,2018-08-07T11:59:00Z,D,7.22,24
D,Global,2018-08-08T11:59:00Z,D,2.08,24
D,Global,2018-08-09T11:59:00Z,D,9.95,24
D,Global,2018-08-10T11:59:00Z,D,12.95,24
D,Global,2018-08-11T11:59:00Z,D,10.23,24
D,Global,2018-08-12T11:59:00Z,D,13.71,24
D,Global,2018-08-13T11:59:00Z,D,8.33,24
D,Global,2018-08-14T11:59:00Z,D,5.7,24
D,Global,2018-08-15T11:59:00Z,D,10.64,24
D,Global,2018-08-16T11:59:00Z,D,7.44,24
D,Global,2018-08-17T11:59:00Z,D,5.37,24
D,Global,2018-08-18T11:59:00Z,D,10.55,24
D,Global,2018-08-19T11:59:00Z,D,14.05,24
D,Global,2018-08-20T11:59:00Z,D,2.68,24
D,Global,2018-08-21T11:59:00Z,D,6.84,24
D,Global,2018-08-22T11:59:00Z,D,7.83,24
D,Global,2018-08-23T11:59:00Z,D,11.19,24
D,Global,2018-08-24T11:59:00Z,D,13.54,24
D,Global,2018-08-25T11:59:00Z,D,9.52,24
D,Global,2018-08-26T11:59:00Z,D,15.34,24
D,Global,2018-08-27T11:59:00Z,D,14,24
D,Global,2018-08-28T11:59:00Z,D,12.24,24
D,Global,2018-08-29T11:59:00Z,D,2.88,24
D,Global,2018-08-30T11:59:00Z,D,4.02,24
D,Global,2018-08-31T11:59:00Z,D,15.28,24
D,Global,2018-09-01T11:59:00Z,D,15.51,24
D,Global,2018-09-02T11:59:00Z,D,5.5,24
D,Global,2018-09-03T11:59:00Z,D,10.44,24
D,Global,2018-09-04T11:59:00Z,D,9.23,24
D,Global,2018-09-05T11:59:00Z,D,13.65,24
D,Global,2018-09-06T11:59:00Z,D,7.71,24
D,Global,2018-09-07T11:59:00Z,D,16.6,24
D,Global,2018-09-08T11:59:00Z,D,18.46,24
D,Global,2018-09-09T11:59:00Z,D,18.87,24
D,Global,2018-09-10T11:59:00Z,D,15.6,24
D,Global,2018-09-11T11:59:00Z,D,17.46,24
D,Global,2018-09-12T11:59:00Z,D,18.9,24
D,Global,2018-09-13T11:59:00Z,D,17.25,24
D,Global,2018-09-14T11:59:00Z,D,18.17,24
D,Global,2018-09-15T11:59:00Z,D,19.26,24
D,Global,2018-09-16T11:59:00Z,D,7.69,24
D,Global,2018-09-17T11:59:00Z,D,14.33,24
D,Global,2018-09-18T11:59:00Z,D,6.85,24
D,Global,2018-09-19T11:59:00Z,D,7.63,24
D,Global,2018-09-20T11:59:00Z,D,16.81,24
D,Global,2018-09-21T11:59:00Z,D,12.86,24
D,Global,2018-09-22T11:59:00Z,D,10.9,24
D,Global,2018-09-23T11:59:00Z,D,20.35,24
D,Global,2018-09-24T11:59:00Z,D,13.29,24
D,Global,2018-09-25T11:59:00Z,D,15.4,24
D,Global,2018-09-26T11:59:00Z,D,16.77,24
D,Global,2018-09-27T11:59:00Z,D,15.51,24
D,Global,2018-09-28T11:59:00Z,D,15.7,24
D,Global,2018-09-29T11:59:00Z,D,17.88,24
D,Global,2018-09-30T10:59:00Z,D,14.39,24
D,Global,2018-10-01T10:59:00Z,D,13.58,24
D,Global,2018-10-02T10:59:00Z,D,18.29,24
D,Global,2018-10-03T10:59:00Z,D,21.04,24
D,Global,2018-10-04T10:59:00Z,D,10.34,24
D,Global,2018-10-05T10:59:00Z,D,23.31,24
D,Global,2018-10-06T10:59:00Z,D,21.32,24
D,Global,2018-10-07T10:59:00Z,D,9.61,24
D,Global,2018-10-08T10:59:00Z,D,15.87,24
D,Global,2018-10-09T10:59:00Z,D,19.01,24
D,Global,2018-10-10T10:59:00Z,D,13.49,24
D,Global,2018-10-11T10:59:00Z,D,17.44,24
D,Global,2018-10-12T10:59:00Z,D,13.19,24
D,Global,2018-10-13T10:59:00Z,D,20.93,24
D,Global,2018-10-14T10:59:00Z,D,20.29,24
D,Global,2018-10-15T10:59:00Z,D,25.78,24
D,Global,2018-10-16T10:59:00Z,D,22.39,24
D,Global,2018-10-17T10:59:00Z,D,25.62,24
D,Global,2018-10-18T10:59:00Z,D,20.22,24
D,Global,2018-10-19T10:59:00Z,D,27.14,24
D,Global,2018-10-20T10:59:00Z,D,26.19,24
