"Date","MET_radswd","MET_radlwd","MET_cldcvr","MET_tmpair","MET_airmax","MET_airmin","MET_dewmax","MET_dewmin","MET_humrel","MET_tmpdew","MET_prvapr","MET_prsttn","MET_prmslp","MET_wndspd","MET_wnddir","MET_wnduvu","MET_wnduvv","MET_pprain","MET_ppsnow"
1990-02-10,225.503,359.651,0.731,20.371,0,0,0,0,77.453,16.296,18.536,97387.8,100603.865,1.275,122.859,1.071,-0.692,3.038,0
1990-02-11,229.519,351.176,0.722,20.424,0,0,0,0,70.036,14.777,16.817,97591.6,100813.798,0.912,36.812,0.546,0.73,1.561,0
1990-02-12,115.398,364.302,1,17.47,0,0,0,0,75.334,13.058,15.042,98128.4,101401.701,1.494,246.109,-1.366,-0.605,1.121,0
1990-02-13,135.123,362.15,0.964,17.583,0,0,0,0,79.989,14.09,16.086,98135.3,101407.538,1.805,194.804,-0.461,-1.745,1.314,0
1990-02-14,206.251,361.271,0.775,18.497,0,0,0,0,79.54,14.892,16.941,98033.2,101291.657,1.206,165.764,0.297,-1.169,5.593,0
1990-02-15,227.003,357.565,0.703,18.613,0,0,0,0,84.562,15.96,18.142,98128.9,101389.224,1.103,192.289,-0.235,-1.077,9.203,0
1990-02-16,221.645,350.028,0.721,18.634,0,0,0,0,78.844,14.889,16.938,98392.5,101661.338,1.749,201.814,-0.65,-1.623,5.894,0
1990-02-17,238.036,333.794,0.668,18.618,0,0,0,0,73.245,13.734,15.719,98288.1,101553.654,1.178,183.096,-0.064,-1.176,0.356,0
1990-02-18,223.235,339.514,0.711,18.679,0,0,0,0,74.861,14.13,16.128,97926.3,101179.143,1.66,92.365,1.658,-0.068,1.02,0
1990-02-19,165.622,351.038,0.872,17.853,0,0,0,0,87.895,15.818,17.979,97656.2,100909.405,2.327,97.643,2.306,-0.31,4.315,0
1990-02-20,287.251,321.881,0.449,18.292,0,0,0,0,71.752,13.105,15.088,97784.2,101036.69,0.596,102.168,0.583,-0.126,2.69,0
1990-02-21,283.094,324.099,0.457,18.654,0,0,0,0,73.026,13.722,15.707,98074.5,101332.552,1.524,235.021,-1.249,-0.874,0.453,0
1990-02-22,215.118,355.945,0.71,18.145,0,0,0,0,92.092,16.84,19.187,98143.2,101409.303,1.861,207.187,-0.851,-1.656,5.698,0
1990-02-23,302.565,319.556,0.325,18.517,0,0,0,0,70.47,13.044,15.028,97841.2,101093.049,2.224,86.703,2.22,0.128,2.428,0
1990-02-24,174.799,345.515,0.835,17.834,0,0,0,0,82.357,14.786,16.826,97427,100672.78,3.801,76.593,3.698,0.881,1.107,0
1990-02-25,209.873,328.354,0.731,17.055,0,0,0,0,74.97,12.583,14.582,96681.2,99910.898,4.74,79.728,4.664,0.845,0.94,0
1990-02-26,182.188,331.409,0.822,15.81,0,0,0,0,62.977,8.774,11.315,96574.5,99814.721,3.064,50.877,2.377,1.934,0.293,0
1990-02-27,96.236,334.81,1,13.813,0,0,0,0,81.153,10.636,12.82,97425.3,100717.118,1.136,195.509,-0.304,-1.095,3.213,0
1990-02-28,240.477,320.791,0.61,16.705,0,0,0,0,70.092,11.226,13.334,97359,100615.315,2.064,62.185,1.825,0.963,6.548,0
1990-03-01,276.839,307.401,0.425,17.416,0,0,0,0,71.071,12.118,14.143,97249.5,100494.084,2.75,55.072,2.255,1.574,0.004,0
1990-03-02,276.076,312.616,0.42,17.919,0,0,0,0,67.995,11.927,13.966,97036.5,100268.317,2.436,52.035,1.921,1.499,0.126,0
1990-03-03,283.433,323.116,0.362,18.524,0,0,0,0,64.393,11.678,13.739,96763.9,99979.857,2.469,49.404,1.874,1.606,0.129,0
