Date,Temp_C,Temp_min,Temp_max,HumRel_mean,n_hours,RadSWD_mean,Precip_mm,Wind_Spd_ms
2021-10-28,15.216666666666667,13.3,18.1,92.91666666666667,24,129.51388888888889,45.6,2.93
2021-10-29,13.2625,9.1,18.7,83.83333333333333,24,156.0185185185185,1.4,2.12
2021-10-30,16.0625,14.5,18.3,86.25,24,154.97685185185185,1.6,3.31
2021-10-31,13.0875,8.8,19.4,76.83333333333333,24,211.9212962962963,1,2.81
2021-11-01,13.425,8.2,18.1,73.95833333333333,24,221.18055555555554,0,2.19
2021-11-02,15.108333333333334,10.7,20.5,63.666666666666664,24,180.09259259259258,0,4.55
2021-11-03,11.195833333333333,9.9,15.7,66.45833333333333,24,114.58333333333333,0.8,8.06
2021-11-04,14.858333333333333,12.6,18.4,67.70833333333333,24,200.2314814814815,0,5.71
2021-11-05,15.491666666666667,12.7,19.3,76.29166666666667,24,182.17592592592592,2.4,2.86
2021-11-06,14.854166666666666,10.4,20,83.41666666666667,24,180.6712962962963,3.6,2.12
2021-11-07,16.391666666666666,12.2,20.4,85.125,24,211.57407407407408,11.8,1.74
2021-11-08,17.329166666666666,12.8,22,80.625,24,270.9490740740741,0,2.47
2021-11-09,17.679166666666667,15.2,22.8,80.66666666666667,24,237.7314814814815,0,2.2
2021-11-10,17.229166666666668,11.2,22.2,81.20833333333333,24,249.76851851851853,0,2.38
2021-11-11,17.829166666666666,12.6,24,69.625,24,274.65277777777777,0,2.19
2021-11-12,18.404166666666665,16.2,21.5,79.70833333333333,24,134.1435185185185,2.2,3.33
2021-11-13,18.8125,17.3,21.3,94.45833333333333,24,98.37962962962963,13,3.02
2021-11-14,17.9625,15.5,22.8,75.5,24,221.75925925925927,0.6,4.69
2021-11-15,17.3375,14.3,21.1,68.375,24,260.06944444444446,0,4.17
2021-11-16,16.783333333333335,14.1,21,71.29166666666667,24,210.87962962962962,0.4,4.26
2021-11-17,13.516666666666666,9.1,18.2,80.20833333333333,24,217.70833333333334,1.4,2.33
2021-11-18,15.091666666666667,9.4,20,71.79166666666667,24,316.08796296296293,0,2.01
2021-11-19,15.329166666666667,9.3,20.7,72.45833333333333,24,309.25925925925924,0,2.38
2021-11-20,16.883333333333333,14.7,20.5,77.08333333333333,24,285.18518518518516,0,3.33
2021-11-21,17.683333333333334,16.4,20,83.45833333333333,24,182.29166666666666,0,3.9
2021-11-22,17.633333333333333,14,21,78.54166666666667,24,162.84722222222223,0,2.12
2021-11-23,15.620833333333334,11.2,21.5,76.45833333333333,24,270.2546296296296,1.8,2.19
2021-11-24,16.133333333333333,13.4,20.8,67.79166666666667,24,245.02314814814815,0,2.67
2021-11-25,16.291666666666668,11.9,20.3,77.375,24,321.64351851851853,0,3.16
2021-11-26,16.441666666666666,9.3,22.1,69.66666666666667,24,334.02777777777777,0,2.44
2021-11-27,17.7625,11.2,23.4,67.83333333333333,24,295.2546296296296,0,3.13
2021-11-28,18.216666666666665,13,22.4,68.04166666666667,24,270.2546296296296,0,2.31
2021-11-29,19.095833333333335,14.4,25.2,71.58333333333333,24,236.6898148148148,0,2.37
2021-11-30,16.8125,15,19.4,87.16666666666667,24,106.82870370370371,4.8,1.86
2021-12-01,17.22083333333333,15.1,20.9,84.25,24,151.50462962962962,1,1.37
2021-12-02,18.154166666666665,13.6,21.1,72.04166666666667,24,243.40277777777777,0,2.12
2021-12-03,17.179166666666667,15.6,21.1,86.08333333333333,24,165.97222222222223,1,3.28
2021-12-04,17.466666666666665,16.5,19.7,87.91666666666667,24,132.52314814814815,8.4,4.34
2021-12-05,18.6625,17.4,21.2,82.79166666666667,24,219.44444444444443,0,4.88
2021-12-06,18.475,17.6,19.7,91.58333333333333,24,106.71296296296296,1,3.9
2021-12-07,18.841666666666665,16.4,22,81.125,24,227.8935185185185,0,2.96
2021-12-08,19.329166666666666,13.9,25,79.20833333333333,24,264.2361111111111,0,2
2021-12-09,20.741666666666667,15.6,25.8,70.29166666666667,24,246.52777777777777,0,2.19
2021-12-10,20.691666666666666,16.8,26,73.33333333333333,24,291.31944444444446,0,2.2
2021-12-11,19.954166666666666,17.9,22.6,87.20833333333333,24,152.3148148148148,2.6,3.04
2021-12-12,16.633333333333333,14.5,20,96.79166666666667,24,88.88888888888889,28.4,2.01
2021-12-13,17.695833333333333,15.9,19.1,98.75,24,83.2175925925926,20.6,3.87
2021-12-14,18.65833333333333,17.1,19.8,99.66666666666667,24,66.43518518518519,41,5.03
2021-12-15,16.9875,12.8,19.4,98.29166666666667,24,91.66666666666667,15.6,2.62
2021-12-16,18.154166666666665,15.9,21.7,79.16666666666667,24,260.4166666666667,1.8,3.53
2021-12-17,15.9,12,21.2,69.33333333333333,24,298.3796296296296,0,4.7
2021-12-18,15.375,7.7,21.6,67,24,328.00925925925924,0,3.94
2021-12-19,17.2375,10.4,23.7,71.66666666666667,24,368.75,0,3.39
2021-12-20,17.3,10.6,24,70.08333333333333,24,311.4583333333333,0,2.84
2021-12-21,18.175,14.1,21.8,75.79166666666667,24,241.55092592592592,1.2,3.6
2021-12-22,19.833333333333332,14.1,25.1,67.875,24,334.25925925925924,0,3.37
2021-12-23,22.345833333333335,16.3,29.7,67.29166666666667,24,356.25,0,3.39
2021-12-24,21.870833333333334,16,29.3,62.875,24,357.2916666666667,0,3.34
2021-12-25,21.120833333333334,16.8,26.3,73.54166666666667,24,302.77777777777777,0,2.97
2021-12-26,19.891666666666666,12,27,64.41666666666667,24,326.85185185185185,0,2.44
2021-12-27,20.2125,18.4,23.6,80.08333333333333,24,178.47222222222223,0,3.3
2021-12-28,18.404166666666665,16.5,21.2,89.625,24,211.34259259259258,2.6,2.34
2021-12-29,18.983333333333334,15.4,24.2,68.54166666666667,24,333.912037037037,0,3.15
2021-12-30,16.883333333333333,10.6,21.4,68.16666666666667,24,334.83796296296293,0,3.45
2021-12-31,18.616666666666667,12.1,24.9,64.41666666666667,24,354.2824074074074,0,2.97
2022-01-01,20.745833333333334,11.6,29.5,60.25,24,366.43518518518516,0,2.42
